Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Bar La Piazza;Acquasparta;Piazza Federico Cesi, 12;N/A;;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00
Antico Caffè Loreti;Acquasparta;Corso Umberto I, 1/3;0744 943660;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 23:00;07:00 - 23:00
BAR L'ANGOLO DEL CAFFE;Acquasparta;Via Giuseppe Mazzini, 46;389 785 6284;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Bar Romacafè;Acquasparta;SS3bis, km 13;0744 941983;24H;24H;24H;24H;24H;24H;24H
Café des Amis;Acquasparta;Via Guglielmo Marconi, 40;N/A;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Red Point;Allerona;Largo Michelangelo Buonarroti, 1;0763 624294;06:00 - 01:00;06:00 - 01:00;;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Bar Red Point;Allerona;Via della Stazione, 8, Stazione di;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Zanzibar Morris Di Morris Andrea Nicola & C. Snc;Allerona;Via di Orvieto, 11, Stazione di;0763 624603;;05:30 - 21:00;05:30 - 21:30;05:30 - 21:00;05:30 - 00:00;05:30 - 00:00;06:00 - 21:00
Borgo Antico Bar;Allerona;Via Centrale, 70;0763 628355;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 01:00;07:00 - 23:30
Bar Sepi;Alviano;Piazza Padre F. Schiaroli, 5A;0744 904666;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00
Caffe' Fuori Porta;Amelia;Piazza XXI Settembre, 16;0744 983906;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00
Caffè Roma;Amelia;Via Roma - Strada Statale 205, 135;348 035 9705;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
Cafè valsal;Amelia;SP85;N/A;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 13:00, 14:30 - 20:00
Linda bar;Amelia;Via Roma, 135;0744 666114;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;
Bar Rimembranze;Amelia;Via Rimembranze, 30;N/A;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30
Bar degli angeli;Amelia;Via della Libertà, 13, Fornole TR;0744 989579;;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;07:00 - 00:00
Artic Bar;Amelia;Piazza Giacomo Matteotti, 73a;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Sciarrini mario;Amelia;Via Rimembranze, 51;0744 978565;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 12:00
