Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Osteria Dal Moro;Giulianova;Lungomare Spalato, 74;085 800 4973;13:00-16:00 20:00-00:00;;;13:00-16:00 20:00-00:00;13:00-16:00 20:00-00:00;13:00-16:00 20:00-00:00;13:00-16:00 20:00-00:00
L'Osteria Cinque;Giulianova;Via Amerigo Vespucci;388 425 5652;19:00-22:30;;19:00-22:30;19:00-22:30;19:00-22:30;19:00-22:30;12:30-15:00
Ristorante Laguna Blu;Giulianova;Via Galileo Galilei, 299;085 800 8038;;;12:30-16:00 19:30-00:00;12:30-16:00 19:30-00:00;12:30-16:00 19:30-00:00;12:30-16:00 19:30-00:00;12:30-16:00
Rotta Cucina e Ristoro;Giulianova;Via Galileo Galilei, 226;085 911 8025;12:30-14:00 19:30-22:30;19:30-22:30;;19:30-22:30;19:30-22:30;19:30-22:30;12:30-14:00
Ristorante Bora Bora;Giulianova;Via Sardegna, 34;347 049 7912;;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-18:00
Tagliato Mare;Giulianova;Lungomare Zara, 19;329 859 7356;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30
A casa di Lilla;Giulianova;Via Brecciola, 27;338 288 6618;;;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00
Osteria Vivizia;Giulianova;Piazza della Libertà, 12;333 852 5024;;;18:30-23:00;18:30-23:00;18:30-00:00;18:30-00:00;18:30-23:00
Cantine San Flaviano;Giulianova;P.za Bruno Buozzi, 25;085 802 8655;;17:30-23:30;17:00-00:00;00:00-17:00;17:30-23:30;24H;09:00-23:30
Aprudia;Giulianova;Largo del Forno, 16;085 201 1844;;;;19:45-22:00;19:45-22:00;09:00-17:00;12:30-14:00
Nero di Seppia;Giulianova;Via Trieste, 159;348 538 8978;12:30-14:30 19:30-22:30;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Ristorante Il Giardino;Giulianova;Via Bompadre, 13;085 921 8812;;;;;19:30-00:00;19:30-00:00;12:30-15:00
